단어,빈도,정서가,각성가,구체성
가구,402,5.17,3.85,8.18
가난,468,2.91,5.87,3.35
가로,353,5.25,3.87,6.71
가책*,74,2.46,6.49,2.53
가치,4609,7.10,3.86,2.51
간식,122,6.57,5.46,6.71
간판,544,5.06,4.18,8.18
감격*,234,7.54,5.99,2.63
감동*,895,7.32,5.03,2.90
감명*,125,7.47,4.91,2.53
감사*,382,7.96,3.36,3.13
감옥,774,2.31,5.99,8.04
감탄*,129,7.34,6.40,2.90
감흥*,79,6.45,4.46,2.71
강도,355,2.00,6.55,6.25
거룩,249,7.02,3.84,2.10
거부감*,170,2.75,5.97,3.02
거울,263,5.45,4.09,8.50
걱정*,2137,3.36,5.63,2.86
건강,2064,7.08,3.13,3.66
건물,3058,5.30,3.88,8.27
건전지,48,6.02,4.13,8.71
게시판,162,5.01,4.66,8.18
격려,229,7.51,5.27,2.70
경멸*,101,1.93,6.72,2.65
경이*,45,7.37,6.10,2.14
경탄*,32,6.30,5.73,2.39
계산기,90,5.10,4.04,8.61
계산대,45,5.14,4.22,8.50
고뇌*,295,4.32,4.28,2.88
고독*,405,3.33,4.09,2.51
고름,83,2.79,5.24,7.02
고무,254,5.06,6.07,8.06
고무신,228,4.58,4.33,8.66
고문,1029,2.19,7.04,4.80
고생*,869,3.95,5.73,3.26
고아원,280,3.62,4.40,7.92
고통*,2502,2.42,6.83,3.42
곰팡이,150,2.54,5.48,7.55
공감*,276,7.26,3.08,2.70
공격,1315,4.00,7.49,4.12
공기,1406,7.20,2.77,5.34
공상,255,5.80,4.34,2.47
공포*,1467,2.84,7.19,2.98
공허*,319,3.13,4.08,2.24
과부,370,3.46,4.68,7.03
관광,977,6.39,5.28,4.96
괄호,88,4.95,4.02,7.24
괴성,44,2.42,6.31,4.90
괴한,50,1.77,6.69,6.61
교감*,162,7.34,3.57,2.78
교도소,424,2.65,6.90,8.13
구더기,68,1.90,6.64,8.03
구슬,212,5.21,4.09,8.34
구원,506,7.17,3.59,2.18
구조물,193,5.07,4.06,7.62
구토,167,2.14,6.26,7.99
굶주림,162,2.88,5.98,4.26
권총,239,2.84,7.46,8.58
그늘,747,5.86,3.52,6.90
그릇,1219,5.41,3.85,8.42
그리움*,509,4.58,4.35,2.54
글자,917,5.29,3.58,7.43
긍정*,163,7.87,4.11,2.91
긍지*,170,6.86,4.82,2.57
기대감*,197,6.39,6.01,2.74
기류,220,4.69,4.09,4.37
기쁨*,1268,8.24,5.82,2.87
기상,339,5.36,4.77,4.48
기적,541,7.72,6.00,2.24
기호,192,5.33,4.20,5.94
긴장*,1140,4.10,6.96,3.07
깡패,222,2.57,7.40,6.05
깨달음,357,7.31,3.92,2.65
낙관론,69,6.47,4.01,2.76
낙원,147,7.89,2.85,3.05
낙천,36,6.63,3.82,2.77
낚싯대,77,5.04,3.87,8.76
남방,102,6.10,3.68,8.07
납치,146,1.67,6.73,5.69
낭만,165,7.40,4.16,2.34
냄비,216,4.74,5.40,8.64
냉장고,587,5.43,4.89,8.71
노래,4017,7.32,4.21,6.08
노예,724,1.95,5.79,6.79
놀림,75,2.67,7.08,3.03
누명,70,1.80,6.98,3.42
눈물*,3538,4.19,5.19,7.20
단백질,517,5.66,4.32,5.98
단상,128,4.85,4.16,7.04
단추,263,5.19,3.93,8.53
달동네,67,3.25,5.46,6.47
달성,203,7.15,5.75,3.29
대기,669,4.28,4.53,4.63
대성공,48,8.14,7.20,3.08
대자연,73,7.41,3.56,5.42
데이트,193,7.21,5.69,4.47
도구,1000,5.56,4.38,7.28
도둑놈,178,2.02,6.30,6.87
도시락,349,6.44,3.74,8.50
도움,2747,7.21,3.11,3.65
도청,75,2.90,5.80,5.45
도형,124,5.13,4.00,7.41
독약,55,1.77,6.45,7.48
돌계단,48,5.47,3.40,8.56
돗자리,47,5.65,3.66,8.62
동경*,106,6.70,3.73,2.66
등받이,91,5.46,3.55,8.30
마법,243,6.41,6.63,2.36
마우스,99,5.66,4.74,8.66
마침표,45,5.64,3.13,8.12
만년필,82,5.62,3.78,8.62
만족*,363,7.59,3.37,2.91
만화,967,5.95,4.73,7.55
망원경,166,5.48,4.69,8.72
매력,678,7.50,5.28,2.66
매혹*,42,6.98,6.28,2.71
맷돌,45,5.41,3.78,8.82
맹수,88,3.85,6.86,7.22
명암,48,5.70,4.13,6.24
모성애,58,7.84,2.80,3.07
모욕*,157,1.95,6.55,3.46
모자,745,5.51,4.18,8.55
몰락,274,2.06,6.28,3.55
무관심*,260,2.33,4.07,3.13
무력감*,88,2.31,4.00,2.72
무지개,227,6.69,3.74,7.47
문헌,482,5.14,3.72,7.25
물통,110,5.64,3.91,8.55
민망*,50,3.64,6.08,2.92
믿음,1003,7.50,2.58,2.56
바둑,341,5.12,3.25,8.43
바위,1035,5.22,3.78,8.60
박스,212,5.18,3.95,8.43
박진감*,50,6.93,5.63,2.97
반색*,47,5.40,6.90,2.79
반역자,64,2.09,7.42,5.10
밥그릇,161,5.38,4.07,8.30
밥솥,77,5.77,3.90,8.69
방석,103,5.49,3.05,8.58
방학,922,6.89,5.58,5.81
배신감*,110,2.01,6.90,2.61
버튼,180,5.16,4.23,8.18
벚꽃,175,6.88,3.72,8.71
벨트,211,5.09,4.27,8.52
벽시계,48,5.40,3.22,8.76
벽지,142,5.45,3.60,8.50
별빛,104,7.49,3.13,5.93
병균,62,2.13,5.97,6.29
보람*,551,7.27,3.59,2.84
보배,50,7.38,3.77,3.49
보석,403,6.73,4.42,7.91
보자기,202,5.34,3.91,8.39
복사기,73,5.62,4.90,8.75
복수,237,2.85,6.98,2.97
복종,138,2.77,5.43,3.27
볼펜,161,5.15,4.01,8.69
부랑자,42,2.98,5.59,5.96
분노*,989,2.84,6.61,3.25
불만*,1262,2.88,6.96,3.05
불안*,1454,2.87,6.48,2.73
불쾌감*,110,2.38,6.39,2.87
불편*,462,2.78,6.47,3.07
불행*,645,2.64,6.13,2.81
비극*,841,2.05,6.16,2.89
비난*,899,2.56,6.39,3.26
비누,368,5.47,3.85,8.59
비린내,93,2.55,5.71,5.34
비웃음*,93,2.21,6.54,4.04
빈민,132,2.55,5.46,4.62
빌딩,554,5.03,4.34,8.29
빗자루,104,5.58,3.99,8.76
뽀뽀,43,7.29,5.58,6.14
사각형,88,4.84,3.93,8.03
사기꾼,132,2.04,7.05,5.85
사랑*,7767,8.17,4.54,2.97
사전,418,5.21,3.81,8.34
사진기,47,6.38,3.85,8.70
사형,281,2.82,6.01,6.18
살인,888,1.29,7.04,6.06
삼각형,198,4.77,4.27,8.18
상가,119,4.93,4.39,7.52
상실감*,81,2.55,4.77,2.24
상자,879,4.72,4.24,8.35
상처,1815,2.85,6.02,6.15
상쾌*,188,8.01,4.25,2.71
새싹,179,6.91,3.62,7.95
생기*,271,6.98,4.23,3.11
생동감*,111,7.10,6.70,2.82
생명력,321,7.84,3.73,2.72
생산품,46,5.70,3.73,7.57
생일날,68,7.48,4.48,6.04
서예,91,5.23,3.18,7.14
서재,187,5.53,3.78,8.13
서커스,68,5.59,5.02,7.04
석고,177,4.63,4.20,7.83
석탑,235,4.97,3.12,8.66
선물,1442,7.23,5.30,7.04
선반,124,5.07,4.01,8.33
선호*,191,7.02,4.08,3.13
성공,1352,7.51,5.42,2.94
성취,346,7.70,4.45,3.22
