word,def,V,A
짜릿하다†,(사람이나 그 마음이) 심리적으로 자극을 받아 몹시 흥분되고 떨리는 듯하다.,2,1.6875
침울하다*,걱정이나 근심에 잠겨서 마음이 우울하다.,-2.0625,-0.8125
만년필*,글씨를 쓰는 펜의 하나. 펜대 속에 넣은 잉크가 펜촉으로 흘러나와 오래 쓸 수 있다.,0.6875,-0.375
생기*,싱싱하고 힘찬 기운.,2.4375,1.75
격파†,단단한 물체를 손이나 발 따위로 쳐서 깨뜨림.,0.8125,1.6875
석박사,‘석사’와 ‘박사’를 아울러 이르는 말.,0.875,0.0625
바퀴벌레,"작고 둥글납작하며 누런 갈색을 띠고, 음식물과 옷가지에 해를 끼치는 곤충.",-2.6875,1.375
식물성,식물에서만 볼 수 있는 고유한 성질. 또는 그런 성질을 지닌 것.,1.0625,-0.6875
고화질,미세한 것도 잘 보일 정도로 텔레비전이나 카메라 등의 화면이 매우 선명한 것.,1.875,0.6875
빈자리,사람이 앉지 아니하여 비어 있는 자리.,0.25,-0.4375
희박하다,기체나 액체 따위의 밀도나 농도가 짙지 못하고 낮거나 엷다.,-0.875,0.25
운동화,운동할 때 신는 신. 또는 평상시에 활동하기 편하게 신는 신.,1.375,-0.0625
은메달리스트,주로 운동 경기나 그 밖의 각종 대회에서 입상하여 은메달을 수상한 사람.,1.25,0.875
훌륭하다,썩 좋아서 나무랄 곳이 없다.,2.375,0.8125
깔끔하다,생김새 따위가 매끈하고 깨끗하다.,2.0625,-1.0625
서러움,서럽게 느껴지는 마음.,-1.9375,-0.1875
패러글라이딩,패러글라이더를 메고 높은 산의 절벽 등에서 뛰어내려 활공하는 신종 스포츠.,1.1875,2.25
차단기,전류나 전자가 흐르지 못하도록 전선을 끊거나 막는 기구.,0,-0.4375
종이접기,"종이를 접어서 학, 배, 비행기 따위의 모양을 만드는 일.",0.625,-1.1875
내외빈,내빈과 외빈을 아울러 이르는 말.,0.125,-0.8125
체납액,기한까지 내지 못하고 밀린 금액.,-2.4375,1.375
아이디어,새롭고 기발한 생각.,2,1.6875
지우개,글씨나 그림 따위를 지우는 물건.,0.125,-0.5
피범벅,사방 여러 군데에 피가 묻어 뒤범벅이 됨.,-2.625,1.6875
쓰나미,지진 때문에 해저(海底)에 지각 변동이 생겨서 일어나는 해일. 해안 근처의 얕은 곳에서 파고(波高)가 급격히 높아지고 특히 좁은 만(灣)의 깊숙한 곳에 큰 피해를 준다.,-2.0625,1.25
저조도,조도가 낮음. 또는 낮은 조도.,-0.3125,-1.125
최루탄,눈물샘을 자극하여 눈물을 흘리게 하는 약이나 물질을 넣은 탄환.,-2.4375,1.125
면역력,외부에서 들어온 병원균에 저항하는 힘.,1.1875,0.0625
텔레마케팅,컴퓨터 따위의 통신 장치를 이용하여 상품이나 서비스의 주문을 받아 소비자에게 효율적으로 제공하기 위한 활동.,-0.875,0.125
다리미,"옷이나 천 따위의 주름이나 구김을 펴고 줄을 세우는 데 쓰는 도구. 쇠붙이로 만들며 바닥이 판판하고 매끄럽게 되어 있는데, 숯불이나 전기 따위로 바닥을 뜨겁게 달구어 쓴다.",1,-0.375
무설탕,설탕을 첨가하지 않음. 또는 그런 것.,0.125,-0.75
담벼락,담이나 벽 따위를 통틀어 이르는 말.,0.125,-0.5625
스폰서십,"행사, 자선 사업 따위에 기부금을 내어 돕는 사람으로서의 정신.",1.375,0.5625
미개발,아직 개발되지 못하거나 개발하지 아니함.,-0.875,0
공포감,두렵고 무서운 느낌이나 기분.,-2.5625,1.75
무심히,아무런 생각이나 감정 따위가 없이.,-0.25,-1.8125
평가전,실력의 정도를 알아보기 위하여 하는 운동 경기.,0.5,1
신속히,매우 날쌔고 빠르게.,1.25,1.8125
디스카운트,물건값의 얼마 또는 몇 퍼센트를 낮추는 일.,0.8125,1
대형견,"몸집의 크기가 큰 개. 진돗개, 레트리버 따위가 있다.",1.875,-0.125
잔여물,완전히 제거되고 소비되지 않고 남아 있는 물질이나 물건 따위.,-1.9375,0.25
대히트,세상에 내놓거나 발표한 것이 매우 큰 인기를 얻음.,1.75,1.8125
엇박자,음이 제 박자에 오지 아니하고 어긋나게 오는 박자. 당김음을 만들거나 합주할 때 특수한 효과를 나타낸다.,0.0625,1
상용화,일상적으로 쓰이게 됨. 또는 그렇게 만듦.,0.5625,-0.875
미실시,아직 실제로 시행하지 아니함.,-1.3125,-0.75
부교수,"대학교수 직위의 하나. 정교수의 아래, 조교수의 위이다.",-0.25,0.0625
스타킹,목이 긴 여성용 양말. 나일론 따위로 만들어 얇고 신축성이 강하다.,0.5,0.3125
도제식,도제 관계와 같이 제자가 스승에게 절대적으로 복종하던 방법.,-1.125,0.5625
개방감,공간이 개방된 느낌.,2.125,-0.75
떨어지다,위에서 아래로 내려지다.,-1.375,0.75
불량품,품질이나 상태가 나쁜 물건.,-1.875,0.25
프린터,"인쇄하는 데 쓰는 기계. 판(版)의 방식에 따라 볼록판ㆍ평판ㆍ오목판이 있고, 압력을 주는 방식에 따라 평압식 인쇄기ㆍ원압 인쇄기ㆍ윤전기 따위가 있다.",0.125,-0.625
연하장,새해를 축하하기 위하여 간단한 글이나 그림을 담아 보내는 서장(書狀).,1.875,-0.3125
가을바람,가을에 부는 선선하고 서늘한 바람.,1.9375,-1.3125
창의력,새로운 것을 생각해 내는 능력.,1.875,1.5
고독감,혼자 남겨져 외롭고 쓸쓸한 느낌.,-0.9375,-0.5
바이아웃,기업의 지분 상당 부분을 인수하거나 기업 자체를 인수한 후 대상 기업의 정상화나 경쟁력 강화를 통해 기업 가치를 높이는 일.,0.875,0.75
무효화,무효가 됨. 또는 무효로 만듦.,-0.75,-0.0625
꿈꾸다,꿈을 꾸는 상태에 있다.,1.1875,-0.3125
방관자,어떤 일에 직접 나서서 관여하지 않고 곁에서 보기만 하는 사람.,-1.5625,-1.0625
유행병,어떤 지역에 널리 퍼져 여러 사람이 잇따라 돌아가며 옮아 앓는 병. 또는 같은 원인으로 보통 병보다 많이 발생하는 병.,-2.1875,1.1875
물리학,"물질의 물리적 성질과 그것이 나타내는 모든 현상, 그리고 그들 사이의 관계나 법칙을 연구하는 학문. 자연 과학의 한 분야이다.",0.1875,-0.25
저주파,"주파수가 낮은 파동이나 전자기파. 음성 진동수, 즉 가청(可聽) 진동수를 가리키며 무선 주파를 검사하여 알아낸 신호 진동수의 파동을 가리키기도 한다.",-0.125,0.125
변사체,뜻밖의 사고로 죽은 사람의 시체.,-2.125,1.4375
대중문화,"대중이 형성하는 문화. 생활 수준의 향상, 교육의 보급, 매스컴의 발달 따위를 기반으로 이루어지며, 대량 생산과 대량 소비를 전제로 하기 때문에 문화의 상품화ㆍ획일화ㆍ저속화 경향이 생기는 경우가 많다.",1.125,0.875
대역전승,크게 지고 있는 팀이 형세를 뒤집어서 이김. 또는 그런 승리.,1.875,2
승리자,싸움이나 경기 따위에서 이긴 사람. 또는 그런 단체.,1.875,1.5
폭로전,상대방에 대한 알려지지 않은 나쁜 일이나 음모 따위를 사람들에게 공공연히 알리면서 벌이는 경쟁. 또는 그런 일을 경쟁적으로 공공연히 알리는 일.,-2.3125,1.25
싸구려,값이 싸거나 질이 낮은 물건.,-1.6875,-0.25
거짓말쟁이,거짓말을 잘하는 사람.,-2.5,1.1875
턱걸이,철봉을 손으로 잡고 몸을 올려 턱이 철봉 위까지 올라가게 하는 운동.,0.5625,1.5625
일광욕,치료나 건강을 위하여 온몸을 드러내고 햇빛을 쬠. 또는 그런 일.,1.3125,-1.125
강대국,병력이 강하고 영토가 넓어 힘이 센 나라.,1.25,0.4375
교육권,교육을 받을 권리. 능력에 따라 균등한 교육을 받을 권리를 이른다.,1.75,-0.625
보디빌더,보디빌딩을 전문적으로 하는 사람.,1.375,1.625
